rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
1.0,Malicious App,"This app is a scam, do not download!",[],B0BQSK9QCF,B07BFS3G7P,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,1562182632076,0,False
5.0,Best Game Ever,"I love playing Candy Crush Saga, it's so much fun! The graphics are amazing and the levels are challenging but not too hard.",[],B00CTQ6SIG,B00CTQ6SIG,AHSPLDNW5OOUK2PLH7GXLACFBZNQ,1424120336000,0,True
4.0,Good But Not Great,"I like this game, it's enjoyable but there are some issues with the controls. Sometimes it feels glitchy too.",[],B07BFS3G7P,B0BQSK9QCF,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,1562182632076,0,False
2.0,Disappointed,"I was expecting more from this app, but it didn't deliver. The features are limited and the interface is clunky.",[],B0BQSK9QCF,B07BFS3G7P,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,1562182632076,0,False
5.0,Excellent Tool,This app is a must-have for any gamer! It helps me find the best deals on games and saves me money.,[],B00CTQ6SIG,B00CTQ6SIG,AHSPLDNW5OOUK2PLH7GXLACFBZNQ,1424120336000,0,True
5.0,Excellent Tool,This app is fantastic! It helps me stay organized and focused throughout the day.,[],B07BFS3G7P,B0BQSK9QCF,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,1562182632076,0,False
5.0,Best Game Ever,"I love playing this game, it's so much fun! The graphics are amazing and the gameplay is addictive.",[],B07JKRD7VT,B07JKRD7VT,AHSPLDNW5OOUK2PLH7GXLACFBZNQ,1424120336000,0,True
4.0,Good But Not Great,This app is good but not great. It could use some more features and improvements.,[],B07BFS3G7P,B07BFS3G7P,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,1562182632076,0,False
2.0,Disappointed,"I was expecting more from this app, but it didn't deliver. The interface is clunky and hard to navigate.",[],B07JKRD7VT,B07JKRD7VT,AHSPLDNW5OOUK2PLH7GXLACFBZNQ,1424120336000,0,True
3.0,Meh,"This app is just okay. It's not bad, but it's not great either. The features are average and the user interface could be better.",[],B07BFS3G7P,B07BFS3G7P,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,1562182632076,0,False
